# 3193 unresolved booktitles sorted by row frequency
# 309624 unresolved conference rows
# rows	booktitle

120	ADCONS
120	ANTS Conference
120	SBM
120	ScalCom-EmbeddedCom
120	SIGPLAN Symposium on Compiler Construction
120	SLaTE
119	Complex (2)
119	EuroHaptics
119	FIFF Jahrestagung
119	I-KNOW
119	ISTA
118	Complex (1)
118	CSISE (3)
118	JTRES
118	MONAMI
118	SIMPAR
117	HISB
117	Parallel and Distributed Computing and Systems
117	WEDELMUSIC
116	BICoB
116	EurAsia-ICT
116	IBERAMIA-SBIA
116	ICLS (3)
116	Logic of Programs
115	Automated Deduction in Geometry
115	Bangalore Compute Conf.
115	BIONETICS
115	IJCBS
115	IWCC
115	Modelling and Simulation
115	MSVVEIS
115	NDT (2)
114	COST 2102 Training School
114	EnviroInfo
114	GECON
114	ICANNGA
114	IEEE Workshop on Multimedia Signal Processing
114	Jerusalem Conference on Information Technology
114	Parcella
114	PNPM
114	STAIRS
114	VRIPHYS
113	CAIA
113	ICONS
113	Modelling, Identification and Control
113	WSOM
112	ANTS Workshop
112	EuroHaptics (1)
112	FBT
112	Hybrid Metaheuristics
112	IFIPTM
112	JCDCG
111	BVAI
111	CSTST
111	DIISM
111	EUROVAV
111	ISMSE
110	ISIA
110	JBIDI
110	NDT (1)
110	SAMT
109	Berliner XML Tage
109	NLPRS
109	QoSA
109	WorldCIST
108	AADEBUG
108	IPC
108	ISAS-SCI (1)
108	PoEM
108	SMARTNET
107	CDS
107	EuroHaptics (2)
107	FCST
107	ICBA
107	SSR
106	C++ Conference
106	CLIHC
106	DEON
106	EUROCAL
106	GAME-ON
106	ICMT
106	JMLC
106	Prozeßrechnersysteme
106	SBCARS
105	CAR
105	FSEN
105	ICSTM
105	MAAMAW
105	Networked Group Communication
105	NICSO
105	RCDL
104	APWCS
104	COOTS
104	IWPT
104	MRCS
104	SFM
103	CLIN
103	DSAI
103	Fachtagung über Programmiersprachen
103	GIR
103	IE
103	JSAI-isAI Workshops
102	FGIT-FGCN (2)
102	ICDL-EPIROB
102	IDAACS (1)
102	Int. Conf. on Membrane Computing
102	IWPSE
102	NGI
102	QI
102	UbiMob
102	Volume Graphics
102	WebSci
102	WISES
101	Actes d'IC
101	ARVLSI
101	IS-EUD
101	iStar
101	Java Grande
101	JFIADSMA
101	LORI
101	RiTA
100	ANNPR
100	CATE
100	DCNET/ICE-B/OPTICS
100	ECUMN
100	EIAT/IETA
100	ESSoS
100	IIR
100	IWIPS
100	SCSS (2)
100	TAPSOFT, Vol.2
99	e-Energy
99	ICMS
98	AP2PC
98	GSI
98	HPTS
98	ICAS/ICNS
98	SADFE
98	SAM
98	VDAT
97	DICTAP
97	SNDS
97	SocProS (1)
97	SocProS (2)
97	Symposium on Programming
97	VIP
97	Wireless and Optical Communications
96	D-CSCW
96	Functional Programming
96	ICCPOL
96	JSAI
96	MIWAI
96	PCM (3)
96	ROBOTIK
96	SEMCCO (2)
95	CSCL (2)
95	ICSEng
95	IDAACS (2)
95	MALLOW
95	Neural Networks and Computational Intelligence
95	NordSec
95	SRII Global Conference
94	Amsterdam Colloquium on Logic, Language and Meaning
94	BNAIC
94	DARS
94	EuroSSC
94	ICETE
94	TAPSOFT, Vol.1
93	ACG
93	ACITY (2)
93	CONFENIS (2)
93	CSCL (1)
93	CSDM
93	FSMNLP
93	ICAIC (1)
93	ISSE
93	LP
92	ASWEC
92	HSC
92	ICAIC (2)
92	ICAIC (4)
92	IPOM
92	LTC
92	MALWARE
91	ANNES
91	BICS
91	CILC
91	Computational Imaging
91	Computational Logic
91	FAABS
91	IITA
91	IMSCCS
91	PuK
90	3DOR
90	AICT/SAPIR/ELETE
90	Algorithm Engineering
90	CONFENIS (1)
90	EMV
90	High Performance Graphics
90	IWLCS
90	MMS
90	Monterey Workshop
89	BIOSIGNALS (2)
89	Category Theory and Computer Science
89	DSS
89	FoSER
89	ISSNIP
89	Net-Con
89	NLPKE
89	PROMAS
89	ZEUS
88	AMFG
88	ePart
88	EUROSAM
88	ICIMTH
88	ICWMC
87	Audio Mostly Conference
87	Digital Identity Management
87	ELP
87	ESC
87	ICAPR (2)
87	INDC
87	Numerical Methods and Applications
87	TeNe
87	TES
87	WEB
86	APAQS
86	BIR
86	CIBB
86	ICAIC (3)
86	LA-NMR
86	MLDM Posters
86	RSEISP
86	SBMF
85	BIRD
85	IAS (2)
85	ICSI
85	LoCA
85	Med-Hoc-Net
85	Protocols for High-Speed Networks
85	WS-FM
84	ARSO
84	BLISS
84	Communications and Computer Networks
84	Geometric Modelling
84	ICHI
84	LSMS (1)
84	MAICS
84	NL-MUA
84	PARLE (1)
84	RP
84	S-BPM ONE
84	WSKS
83	EUNIS
83	High Performance Computing Workshop
83	IAS (1)
83	IWAENC
83	LSMS/ICSEE
83	Visual Information Processing
83	WOB
82	AICI (3)
82	ANZIIS
82	CLEAR
82	ECKM
82	GTIT-C
82	IMF
82	MIKE
82	MSV/AMCS
82	Supercomputer
82	UCS
82	User Interfaces for All
81	ACITY (1)
81	Autonomics
81	Broadband Islands
81	CS&P
81	DaEng
81	DBISP2P
81	DISCEX (2)
81	IWSC
81	MACOM
81	PROMISE
81	World Conference on Information Security Education
80	CSCLP
80	CSS
80	Electronic Voting
80	ICPCA/SWS
80	Media Forensics and Security
80	PARLE (2)
80	SASP
80	UKCI
79	AMAI
79	BroadCom
79	CLOUDNET
79	HPCNCS
79	ISUC
79	NetCoM
79	Richard Tapia Celebration of Diversity in Computing Conference
79	SINOBIOMETRICS
79	SwSTE
79	TbiLLC
79	XSym
78	AccessNets
78	Computer Performance Evaluation / TOOLS
78	DFN-Forum Kommunikationstechnologien
78	DiSS
78	ETX
78	Eurobot Conference
78	Future Security
78	ISAS
78	ISCOPE
78	OODBS
78	OpNeTec
78	Reasoning Web
78	SAGA
78	SBES
78	SVR
78	TIDSE
77	CICA
77	I3E (1)
77	ISW
77	RSFDGrC (2)
76	ECI
76	eTELEMED
76	FGIT-ASEA/DRBC/EL
76	ICSS
76	IOT
76	SMARTGREENS
75	Automata
75	CSE (3)
75	FGIT-FGCN
75	FinTAL
75	KSE
75	NCMA
75	P2P
75	PFE
75	PrimeLife
75	RSFDGrC (1)
75	SELMAS
75	SLTU
75	Three-Dimensional Image Capture and Applications
75	WRAC
74	DAISD
74	Echtzeit
74	ICAPR (1)
74	ICIST
74	SOCO-CISIS-ICEUTE
74	TQC
74	VBC
73	AFSS
73	AT
73	Culture and Computing
